t,R_eff,E
0.0,1.2515735556275975,85.88059305950877
0.0125,1.2512390972933085,84.65578068648728
0.025,1.2510283607945165,84.25672421829566
0.0375,1.250893537032319,84.08097010226071
0.05,1.2508048294275689,83.9936683936437
0.0625,1.250744397366624,83.9473769363348
0.075,1.2507014024645227,83.92182470253658
0.08750000000000001,1.2506691743873362,83.90734122005368
0.1,1.2506435754545868,83.89898010710023
0.1125,1.2506220300328454,83.89409008866247
0.125,1.250602934882348,83.89120291016894
0.1375,1.2505852950082297,83.8894862341731
0.15,1.2505684963949917,83.88846010293848
0.1625,1.2505521633221641,83.88784424070488
0.17500000000000002,1.2505360685610052,83.88747342611823
0.1875,1.2505200768665834,83.88724956602958
0.2,1.2505041095058829,83.88711410594202
0.21250000000000002,1.2504881220858717,83.8870319482972
0.225,1.2504720907784574,83.88698198874746
0.23750000000000002,1.2504560038301766,83.88695150604393
0.25,1.250439856382461,83.88693281755599
0.2625,1.250423647353232,83.88692127675563
0.275,1.2504073775921427,83.88691407016096
0.28750000000000003,1.2503910488152847,83.88690949268039
0.3,1.2503746630111854,83.88690651023181
0.3125,1.2503582221273193,83.88690449533377
0.325,1.2503417279200995,83.88690306706489
0.3375,1.2503251818973398,83.88690199410178
0.35000000000000003,1.250308585310702,83.88690113592867
0.36250000000000004,1.2502919391731826,83.88690040717029
0.375,1.250275244287379,83.88689975594339
0.3875,1.2502585012766525,83.88689915071174
0.4,1.2502417106151262,83.88689857230257
0.41250000000000003,1.250224872654618,83.88689800905635
0.42500000000000004,1.2502079876478547,83.88689745387987
0.4375,1.2501910557679392,83.88689690245529
0.45,1.25017407712439,83.88689635215178
0.4625,1.2501570517761786,83.88689580136393
0.47500000000000003,1.250139979742225,83.88689524910964
0.48750000000000004,1.250122861009789,83.88689469478561
0.5,1.2501056955411411,83.88689413801882
