time_ns,radius_nm,energy_J
0.0,100.00541215314047,4.960100355205275e-16
500000.0,100.05454396432299,4.937857235039748e-16
1000000.0,100.11983372696056,4.936954594417983e-16
1500000.0,100.18887091617403,4.936746178865844e-16
2000000.0,100.25895470398828,4.936586461684531e-16
2500000.0,100.32935424552234,4.936430110511404e-16
3000000.0,100.39985470832329,4.93627374254157e-16
3500000.0,100.47038601948131,4.936117208305158e-16
4000000.0,100.54092057704788,4.935960564930584e-16
4500000.000000001,100.6114443223394,4.935803861880057e-16
5000000.0,100.68194860500371,4.93564713455379e-16
5500000.000000001,100.75242798693652,4.93549040664717e-16
6000000.0,100.82287969157201,4.935333690897088e-16
6500000.000000001,100.893303450031,4.935176989334896e-16
7000000.0,100.96370138706406,4.935020293662158e-16
7500000.000000001,101.0340778530241,4.934863585952608e-16
8000000.0,101.10443918512618,4.934706839601199e-16
8500000.0,101.17479340277933,4.934550020537002e-16
9000000.000000002,101.245149846696,4.934393088644566e-16
9500000.0,101.31551877081606,4.934235999353557e-16
10000000.0,101.3859108958769,4.934078705445624e-16
10500000.0,101.45633693388703,4.933921158988623e-16
11000000.000000002,101.52680709475393,4.933763313455358e-16
11500000.0,101.59733059023955,4.933605125931366e-16
12000000.0,101.66791515493179,4.933446559367821e-16
12500000.0,101.73856660908082,4.933287584742427e-16
13000000.000000002,101.80928849242586,4.9331281830001235e-16
13500000.0,101.8800817999937,4.932968346560771e-16
14000000.0,101.95094484936693,4.932808080235327e-16
14500000.0,102.02187330181579,4.932647401412371e-16
15000000.000000002,102.09286034928098,4.932486339376719e-16
15500000.0,102.16389706398014,4.932324933758139e-16
16000000.0,102.23497289123638,4.932163232251666e-16
16500000.0,102.30607625127296,4.932001287710009e-16
17000000.0,102.37719520432697,4.931839154940759e-16
17500000.0,102.44831812826666,4.931676887440048e-16
18000000.000000004,102.51943435924699,4.931514534349049e-16
18500000.000000004,102.59053475363827,4.931352137837024e-16
19000000.0,102.66161214091022,4.931189731069474e-16
19500000.0,102.73266164938055,4.931027336797892e-16
20000000.0,102.80368089934946,4.930864966573193e-16
20500000.0,102.8746700670207,4.930702620532736e-16
21000000.0,102.94563182890069,4.930540287686365e-16
21500000.0,103.01657119919405,4.930377946622947e-16
22000000.000000004,103.08749527381673,4.930215566561752e-16
22500000.000000004,103.1584128935774,4.93005310873425e-16
23000000.0,103.2293342381807,4.929890528012798e-16
23500000.0,103.30027036201506,4.929727774806142e-16
24000000.0,103.37123268327161,4.929564797186951e-16
24500000.0,103.44223244035497,4.929401543230997e-16
25000000.0,103.51328013280528,4.929237963512112e-16
25500000.0,103.58438496901825,4.929074013677789e-16
26000000.000000004,103.65555434815847,4.928909657000148e-16
26500000.000000004,103.72679340818175,4.928744866707082e-16
27000000.0,103.79810467473541,4.928579627937136e-16
27500000.0,103.86948784473317,4.928413939089017e-16
28000000.0,103.94093973307417,4.928247812399599e-16
28500000.0,104.01245440008702,4.928081273584483e-16
29000000.0,104.08402346260952,4.927914360506075e-16
29500000.000000004,104.1556365733938,4.927747120938216e-16
30000000.000000004,104.22728203633139,4.927579609574906e-16
30500000.000000004,104.29894750977076,4.92741188454669e-16
31000000.0,104.37062074220111,4.927244003783824e-16
31500000.0,104.44229028271322,4.927076021510275e-16
32000000.0,104.51394611521634,4.926907985195252e-16
32500000.0,104.58558017739227,4.926739933104764e-16
33000000.0,104.65718673939759,4.926571892581741e-16
33500000.000000004,104.72876263308935,4.926403879080625e-16
34000000.0,104.80030733460022,4.926235895869665e-16
34500000.0,104.87182291247575,4.926067934335072e-16
35000000.0,104.94331385836276,4.925899974781292e-16
35500000.00000001,105.01478681955878,4.925731987597155e-16
36000000.00000001,105.08625025153331,4.925563934758248e-16
36500000.00000001,105.15771400677505,4.925395771522209e-16
37000000.00000001,105.22918887350848,4.925227448376612e-16
37500000.0,105.30068607705451,4.925058913160164e-16
38000000.0,105.37221675613335,4.924890113325326e-16
38500000.0,105.44379142821126,4.924720998368914e-16
39000000.0,105.51541946144778,4.92455152231024e-16
39500000.0,105.58710857522445,4.924381646175566e-16
40000000.0,105.65886439591088,4.924211340322897e-16
40500000.0,105.73069009870949,4.924040586467752e-16
41000000.0,105.80258616687387,4.923869379175751e-16
41500000.0,105.87455029742834,4.923697726676273e-16
42000000.0,105.94657747351549,4.923525650776967e-16
42500000.0,106.01866021200472,4.923353185858091e-16
43000000.0,106.09078897732842,4.923180376911296e-16
43500000.00000001,106.16295273597375,4.923007276789681e-16
44000000.00000001,106.23513961037159,4.922833942870598e-16
44500000.00000001,106.30733758061945,4.922660433481231e-16
45000000.00000001,106.37953517911957,4.922486804367479e-16
45500000.0,106.4517221274677,4.922313105517775e-16
46000000.0,106.5238898754174,4.922139378546952e-16
46500000.0,106.59603201477968,4.921965654746143e-16
47000000.0,106.66814455584243,4.921791953865046e-16
47500000.0,106.74022606615327,4.921618283558028e-16
48000000.0,106.8122776801466,4.92144463940884e-16
48500000.0,106.88430299290373,4.921271005467311e-16
49000000.0,106.95630785335243,4.921097355179218e-16
49500000.0,107.02830007076483,4.92092365265795e-16
50000000.0,107.10028904714689,4.920749854244144e-16
