time_ns,radius_nm,energy_J
0.0,30.01762336148072,5.021073388345613e-16
5000000.0,30.014431040506018,5.014098308860771e-16
10000000.0,30.017590896335484,5.014098298611655e-16
15000000.000000002,30.020862054095655,5.014098288382712e-16
20000000.0,30.02424623305022,5.014098277464912e-16
25000000.0,30.027746621130063,5.014098265795773e-16
30000000.000000004,30.031366634981964,5.014098253322591e-16
35000000.0,30.035109778986676,5.014098239991899e-16
40000000.0,30.038979623584726,5.014098225748171e-16
45000000.00000001,30.042979799629638,5.014098210533203e-16
50000000.0,30.047113995225878,5.014098194285813e-16
55000000.0,30.05138595299648,5.014098176941596e-16
60000000.00000001,30.055799467291575,5.014098158432849e-16
65000000.0,30.060358381217913,5.014098138688367e-16
70000000.0,30.065066583448285,5.01409811763335e-16
75000000.0,30.069928004746853,5.014098095189277e-16
80000000.0,30.074946614224345,5.014098071273806e-16
85000000.0,30.080126415284283,5.014098045800708e-16
90000000.00000001,30.085471441309966,5.014098018679716e-16
95000000.0,30.09098575110036,5.014097989816455e-16
100000000.0,30.09667342404243,5.014097959112398e-16
105000000.00000001,30.10253855502811,5.014097926464707e-16
110000000.0,30.108585249172904,5.014097891766293e-16
115000000.0,30.11481761643628,5.014097854905694e-16
120000000.00000001,30.121239765958133,5.014097815766996e-16
125000000.0,30.127855800322912,5.014097774229902e-16
130000000.0,30.134669809755213,5.014097730169621e-16
135000000.0,30.141685866250928,5.014097683456831e-16
140000000.0,30.148908017710305,5.014097633957869e-16
145000000.00000003,30.156340282128973,5.0140975815345445e-16
150000000.0,30.163986641940774,5.014097526044279e-16
155000000.0,30.17185103850008,5.014097467340037e-16
160000000.0,30.179937366927142,5.014097405270358e-16
165000000.0,30.188249471115803,5.01409733967983e-16
170000000.0,30.1967911392724,5.014097270408632e-16
175000000.00000003,30.20556609988767,5.014097197292448e-16
180000000.00000003,30.21457801788815,5.014097120163108e-16
185000000.0,30.223830492691107,5.014097038848757e-16
190000000.0,30.233327056381523,5.01409695317359e-16
195000000.0,30.243071172587907,5.014096862957705e-16
200000000.0,30.253066236393945,5.014096768017382e-16
205000000.00000003,30.263315575482384,5.014096668165073e-16
210000000.00000003,30.273822452520324,5.014096563209435e-16
215000000.0,30.284590068895522,5.014096452955301e-16
220000000.0,30.29562156996128,5.014096337203697e-16
225000000.0,30.30692005217777,5.014096215751664e-16
230000000.0,30.318488570943018,5.014096088391881e-16
235000000.0,30.330330151111212,5.014095954912798e-16
240000000.00000003,30.342447799247196,5.014095815097882e-16
245000000.00000003,30.354844517942734,5.014095668726162e-16
250000000.0,30.367523322851035,5.014095515571221e-16
255000000.0,30.380487261352556,5.014095355400357e-16
260000000.0,30.393739433871378,5.014095187974252e-16
265000000.0,30.407283017860486,5.014095013045978e-16
270000000.0,30.421121294650945,5.014094830360138e-16
275000000.0,30.435257678809915,5.014094639652108e-16
280000000.0,30.449695750825782,5.014094440646241e-16
285000000.00000006,30.464439293075642,5.014094233054538e-16
290000000.00000006,30.479492329170345,5.014094016575025e-16
295000000.00000006,30.494859166938515,5.014093790889753e-16
300000000.0,30.51054444533122,5.014093555662568e-16
305000000.0,30.526553185503246,5.014093310536584e-16
310000000.0,30.542890846393103,5.014093055131291e-16
315000000.0,30.55956338524309,5.01409278903933e-16
320000000.0,30.576577323137,5.014092511822948e-16
325000000.0,30.593939816460537,5.014092223009623e-16
330000000.0,30.61165873454404,5.014091922087391e-16
335000000.0,30.62974274407097,5.014091608499227e-16
340000000.0,30.648201400825908,5.014091281637749e-16
345000000.0,30.66704525094111,5.014090940837902e-16
350000000.00000006,30.686285939972898,5.014090585369034e-16
355000000.00000006,30.705936332442462,5.014090214426157e-16
360000000.00000006,30.726010642614764,5.014089827119877e-16
365000000.0,30.746524577617002,5.014089422464858e-16
370000000.0,30.767495494169673,5.014088999366484e-16
375000000.0,30.788942570068293,5.014088556605249e-16
380000000.0,30.810886992593947,5.014088092822183e-16
385000000.0,30.833352164424145,5.01408760649594e-16
390000000.0,30.856363928771643,5.014087095921384e-16
395000000.0,30.87995081544793,5.014086559182941e-16
400000000.0,30.904144307171393,5.014085994124322e-16
405000000.0,30.928979129605732,5.014085398314584e-16
410000000.00000006,30.95449356292292,5.014084769007338e-16
415000000.00000006,30.980729774008132,5.014084103095231e-16
420000000.00000006,31.00773416736468,5.014083397057394e-16
425000000.00000006,31.03555774910626,5.014082646899614e-16
430000000.0,31.064256495078777,5.014081848086959e-16
435000000.0,31.09389171160961,5.014080995467563e-16
440000000.0,31.124530369413197,5.014080083187568e-16
445000000.0,31.156245385968276,5.014079104599095e-16
450000000.0,31.189115819172766,5.014078052161837e-16
455000000.0,31.223226924821038,5.014076917341909e-16
460000000.0,31.258670015515534,5.014075690514118e-16
465000000.0,31.295542041799692,5.014074360874369e-16
470000000.0,31.33394480507219,5.014072916373854e-16
475000000.00000006,31.37398369455519,5.014071343697057e-16
480000000.00000006,31.41576583879033,5.014069628297683e-16
485000000.00000006,31.45939756923426,5.014067754522349e-16
490000000.00000006,31.504981136868846,5.014065705855791e-16
495000000.00000006,31.552610676813934,5.014063465295807e-16
500000000.0,31.602367541865625,5.014061015901238e-16
