t,R_eff,E
0.0,2.0009838492454644,85.64497372848466
0.0125,2.0014964110326234,83.69771963697931
0.025,2.002231077235852,83.06236546230971
0.0375,2.00311100341729,82.78115309307208
0.05,2.0040907279246625,82.63983286100525
0.0625,2.005141121362688,82.56313469526401
0.075,2.0062426223549727,82.5189671594473
0.08750000000000001,2.007381689391766,82.49206546970181
0.1,2.008548747510361,82.47465034350097
0.1125,2.0097369193887333,82.46257037098005
0.125,2.0109412046049253,82.45353835754216
0.1375,2.012157931173078,82.44626542049018
0.15,2.0133843801148457,82.44001341280526
0.1625,2.0146185237252427,82.4343546672716
0.17500000000000002,2.0158588404363296,82.42903935908608
0.1875,2.017104182287861,82.42392072923508
0.2,2.0183536790829404,82.41891225977912
0.21250000000000002,2.019606668448982,82.41396285742982
0.225,2.0208626443900073,82.40904234601402
0.23750000000000002,2.022121219164992,82.40413293068497
0.25,2.023382094853793,82.399224152678
0.2625,2.024645042022347,82.39430989811115
0.275,2.02590988362919,82.38938662150706
0.28750000000000003,2.0271764828281964,82.38445229019274
0.3,2.0284447336858413,82.3795057574797
0.3125,2.029714554091051,82.37454639118792
0.325,2.0309858803229184,82.36957385425778
0.3375,2.032258662877578,82.36458797587053
0.35000000000000003,2.0335328632551857,82.35958867632544
0.36250000000000004,2.0348084514814277,82.35457592373884
0.375,2.0360854041926313,82.34954970948796
0.3875,2.037363703154364,82.34451003461754
0.4,2.0386433341141217,82.33945690259264
0.41250000000000003,2.0399242859120044,82.33439031567217
0.42500000000000004,2.0412065497908007,82.32931027330413
0.4375,2.0424901188604867,82.32421677161348
0.45,2.043774987682343,82.31910980344922
0.4625,2.045061151945842,82.31398935869147
0.47500000000000003,2.0463486082175297,82.30885542465398
0.48750000000000004,2.0476373537458,82.3037079864968
0.5,2.0489273863090967,82.29854702760767
