t,R_eff,Vm_avg
0.0,2.000290581675443e-08,0.0
5.0000000000000004e-08,1.9968465208242474e-08,0.42944710185680957
1.0000000000000001e-07,1.992838866422778e-08,0.42925575173697517
1.5000000000000002e-07,1.9887482300518726e-08,0.4294680129548032
2.0000000000000002e-07,1.9846411683721335e-08,0.4297336808452582
2.5000000000000004e-07,1.9805246366026773e-08,0.4300062783404096
3.0000000000000004e-07,1.976397594655009e-08,0.43027978017764457
3.5000000000000004e-07,1.9722580948477374e-08,0.4305534934797285
4.0000000000000003e-07,1.9681043800542498e-08,0.4308274173509343
4.5000000000000003e-07,1.9639351787950004e-08,0.43110162677546165
5.000000000000001e-07,1.959749873532233e-08,0.43137618555494534
5.5e-07,1.955548613671644e-08,0.43165112961656826
6.000000000000001e-07,1.9513323580892596e-08,0.4319264609402824
6.5e-07,1.9471028198759906e-08,0.4322021448942781
7.000000000000001e-07,1.9428622954281612e-08,0.43247811099446587
7.5e-07,1.9386133838087742e-08,0.4327542579986222
8.000000000000001e-07,1.9343586338771037e-08,0.4330304638596809
8.5e-07,1.9301001828125066e-08,0.43330659999583465
9.000000000000001e-07,1.9258394569628564e-08,0.4335825480198013
9.5e-07,1.921576989134979e-08,0.4338582159588171
1.0000000000000002e-06,1.91731237380397e-08,0.43413355081553506
1.0500000000000001e-06,1.9130443482788235e-08,0.43440854525643546
1.1e-06,1.9087709665824104e-08,0.4346832377336608
1.15e-06,1.9044898281877666e-08,0.43495770678200535
1.2000000000000002e-06,1.9001983309267454e-08,0.43523206103574497
1.25e-06,1.895893928639855e-08,0.4355064266627005
1.3e-06,1.891574382416783e-08,0.43578093361725806
1.35e-06,1.8872379960834037e-08,0.4360557017097018
1.4000000000000001e-06,1.8828838216843972e-08,0.4363308273975637
1.45e-06,1.8785118112688106e-08,0.43660637216258685
1.5e-06,1.8741228820825115e-08,0.4368823537066639
1.5500000000000002e-06,1.8697188603393822e-08,0.43715874125719967
1.6000000000000001e-06,1.8653022808373426e-08,0.43743545648840576
1.65e-06,1.8608760492194968e-08,0.4377123811241845
1.7e-06,1.8564430136545117e-08,0.43798937139461525
1.7500000000000002e-06,1.8520055273216877e-08,0.4382662779750396
1.8000000000000001e-06,1.8475650930052847e-08,0.4385429682953701
1.85e-06,1.843122159219184e-08,0.43881934681966783
1.9e-06,1.8386760929158394e-08,0.43909536901398
1.95e-06,1.8342253082932908e-08,0.4393710462990834
2.0000000000000003e-06,1.8297675034652636e-08,0.43964644175815787
